time;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20160109:1010;0.0;48.0;0.0;19.58;-1.98;0.25;0.0
20160109:1110;0.0;71.0;0.0;22.17;-2.3;0.15;0.0
20160109:1210;0.0;79.0;0.0;22.05;-2.61;0.06;0.0
20160109:1310;0.0;93.0;0.0;19.25;-2.56;0.17;0.0
20160109:1410;0.0;39.0;0.0;14.08;-2.51;0.29;0.0
20160109:1510;0.0;21.0;0.0;7.0;-2.46;0.41;0.0
20160109:1610;0.0;0.0;0.0;0.0;-2.34;0.44;0.0
20160109:1710;0.0;0.0;0.0;0.0;-2.22;0.46;0.0
20160109:1810;0.0;0.0;0.0;0.0;-2.11;0.48;0.0
20160109:1910;0.0;0.0;0.0;0.0;-1.82;0.6;0.0
20160109:2010;0.0;0.0;0.0;0.0;-1.53;0.71;0.0
20160109:2110;0.0;0.0;0.0;0.0;-1.24;0.83;0.0
20160109:2210;0.0;0.0;0.0;0.0;-1.45;0.87;0.0
20160109:2310;0.0;0.0;0.0;0.0;-1.66;0.92;0.0
20160110:0010;0.0;0.0;0.0;0.0;-1.87;0.97;0.0
20160110:0110;0.0;0.0;0.0;0.0;-2.47;1.08;0.0
20160110:0210;0.0;0.0;0.0;0.0;-3.07;1.19;0.0
20160110:0310;0.0;0.0;0.0;0.0;-3.67;1.3;0.0
20160110:0410;0.0;0.0;0.0;0.0;-3.46;1.3;0.0
20160110:0510;0.0;0.0;0.0;0.0;-3.26;1.3;0.0
20160110:0610;0.0;0.0;0.0;0.0;-3.05;1.3;0.0
20160110:0710;0.0;0.0;0.0;0.0;-2.89;1.27;0.0
20160110:0810;0.0;16.0;0.0;7.73;-2.73;1.24;0.0
20160110:0910;3.0;64.0;0.0;14.68;-2.57;1.21;0.0
20160110:1010;6.0;88.0;0.0;19.7;-2.39;1.21;0.0
20160110:1110;0.0;116.0;0.0;22.3;-2.21;1.21;0.0
20160110:1210;0.0;63.0;0.0;22.2;-2.03;1.21;0.0
20160110:1310;0.0;98.0;0.0;19.41;-2.29;1.11;0.0
20160110:1410;0.0;19.0;0.0;14.25;-2.56;1.01;0.0
20160110:1510;0.0;30.0;0.0;7.17;-2.83;0.91;0.0
20160110:1610;0.0;0.0;0.0;0.0;-2.98;0.97;0.0
20160110:1710;0.0;0.0;0.0;0.0;-3.14;1.04;0.0
20160110:1810;0.0;0.0;0.0;0.0;-3.3;1.1;0.0
